年度,カテゴリ,薬効分類,薬効分類名,グループ,個数（薬剤種類数）,数量合計
FY2024,注射_外来院外,421,アルキル化剤,2019年存在,0,0
FY2024,注射_外来院外,421,アルキル化剤,2019年非存在（新規）,0,0
FY2024,注射_外来院外,422,代謝拮抗剤,2019年存在,0,0
FY2024,注射_外来院外,422,代謝拮抗剤,2019年非存在（新規）,0,0
FY2024,注射_外来院外,423,抗腫瘍性抗生物質製剤,2019年存在,1,0
FY2024,注射_外来院外,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
FY2024,注射_外来院外,424,抗腫瘍性植物成分製剤,2019年存在,0,0
FY2024,注射_外来院外,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,6,0
FY2024,注射_外来院外,429,その他の腫瘍用薬,2019年存在,3,0
FY2024,注射_外来院外,429,その他の腫瘍用薬,2019年非存在（新規）,17,2328
